Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Ch3Amplitude,Ch4Amplitude,Ch5Amplitude,Ch6Amplitude,Bd,IPC,
303.722,2704.38,14.41278,35.0616,232.6174,37.40017,0,0,
343.6031,2547.1,-27.87804,4.453766,194.1483,91.33344,0,0,
370.9066,2543.619,-19.54239,-57.28972,211.6239,5.870145,0,0,
281.9477,2703.098,3.291083,-39.93646,240.9327,46.20773,0,0,
346.6419,2669.247,-15.73825,-33.79518,214.5507,32.79519,0,0,
361.4223,2605.672,18.70999,-35.96261,295.423,-7.57951,0,0,
420.2223,2574.131,-25.36432,47.7243,252.8977,3.618692,0,0,
293.6032,2595.714,5.400363,4.237457,199.3112,51.55119,0,0,
342.0874,2565.126,-29.33014,11.86119,252.7924,58.05287,0,0,
307.7102,2608.226,-27.71445,0.4007693,202.3112,76.79612,0,0,
306.4953,2612.011,-42.09892,-26.94341,230.4491,25.30289,0,0,
382.067,2628.969,-29.7038,-6.699368,148.6882,128.9339,0,0,
361.2337,2564.683,-2.140723,53.79083,199.4813,29.20903,0,0,
300.8204,2613.631,-5.125509,9.351301,211.9425,41.42752,0,0,
313.2637,2742.958,-30.05856,55.44324,242.9238,45.63943,0,0,
322.3155,2649.672,-1.770605,-1.242812,206.9798,36.21626,0,0,
318.1852,2620.651,-9.494171,8.336334,224.4623,98.30841,0,0,
354.6163,2599.777,-20.95922,35.82759,235.1908,43.36161,0,0,
401.0916,2485.769,6.106339,-4.862762,174.8487,47.50877,0,0,
351.1576,2640.64,-22.37366,53.62055,254.8435,26.3251,0,0,
343.7617,2581.73,-1.907695,-9.878942,197.4941,66.01588,0,0,
319.1197,2592.965,-7.656351,-32.41569,232.3748,38.81926,0,0,
403.5867,2541.578,-41.44431,17.23581,179.3215,102.8774,0,0,
335.8383,2679.976,-21.93318,36.16658,307.5539,7.766468,0,0,
320.7849,2654.16,-25.95171,-30.52096,227.2278,61.34664,0,0,
350.1858,3085.791,15.83509,-20.44111,218.7086,66.74087,0,0,
314.6814,2606.018,-40.17416,26.94433,216.4259,25.74378,0,0,
318.5966,2641.175,3.690063,-4.636512,296.6051,-35.59924,0,0,
378.2327,2653.33,2.3453,36.15035,262.3797,20.55682,0,0,
275.6693,2677.231,-18.14217,10.38275,169.811,68.407,0,0,
339.0075,2683.056,0.9241182,-21.36526,289.3961,-0.7863377,0,0,
368.3206,2572.907,-11.45943,-1.608806,213.0105,80.48447,0,0,
355.5409,2523.615,-2.170284,-17.89168,260.4101,-5.126812,0,0,
407.8852,2554.99,-1.745178,2.818029,227.7509,76.42697,0,0,
290.5574,2626.027,13.8011,-45.88969,247.9409,34.76107,0,0,
359.3503,2772.893,-13.9186,-15.50856,280.0334,-0.150763,0,0,
347.1952,2695.809,-3.644172,-1.13567,240.5381,20.16334,0,0,
344.9619,2553.123,-12.18694,19.27866,234.3107,33.88648,0,0,
351.2249,2663.547,8.220714,-38.97559,276.3883,-5.459218,0,0,
325.2183,2636.298,8.562701,-25.72911,221.2074,41.74413,0,0,
286.0525,2762.74,8.270058,-7.116305,279.7658,10.26283,0,0,
354.9174,2521.279,-11.20757,-26.77434,208.1604,48.45792,0,0,
360.1242,2728.886,-3.052069,-25.52002,246.351,62.43744,0,0,
312.1096,2631.687,12.62381,-12.46606,253.4023,5.689535,0,0,
324.8782,2600.26,13.26976,-28.02139,204.8255,46.24333,0,0,
308.9433,2686.467,-9.928551,16.85952,178.6818,60.95514,0,0,
309.9341,2615.652,-11.30349,-16.1515,217.9081,33.63622,0,0,
304.4118,2745.608,-20.56938,-4.632428,300.2299,6.176966,0,0,
287.5621,2655.235,15.64533,-32.75946,183.9054,79.05365,0,0,
318.8762,2629.824,-2.625074,13.49706,215.113,58.2024,0,0,
320.1924,2743.802,-6.855399,-48.19674,252.6489,37.0303,0,0,
338.1025,2526.389,-19.88458,18.76758,235.5026,18.58812,0,0,
331.609,2630.284,-14.88536,-11.89214,217.0013,53.51703,0,0,
285.2471,2691.158,5.952489,-0.3385587,238.5075,6.500499,0,0,
351.2922,2567.664,2.695189,-51.86842,282.2718,31.07322,0,0,
283.0746,2618.031,8.000498,-25.75973,218.7485,33.02394,0,0,
299.8383,2721.661,-4.38454,13.73995,236.0139,49.75179,0,0,
